Source,Target,Tweet Type
babouviste,channel4,retweet
babouviste,krishgm,retweet
giskarduk,libdems,reply
lanct22,unitetheunion,retweet
lanct22,beckettunite,retweet
lanct22,uklabour,retweet
cornish_damo,rachael_swindon,retweet
randalljacky,robertjfbarnes1,retweet
randalljacky,uklabour,retweet
randalljacky,socialm85897394,retweet
lillanswe,_brexittory,retweet
objectivereal07,_brexittory,retweet
snoggdog,nja5,retweet
jennytwist1,scousegirlmedia,retweet
dnoz1958,bbcpolitics,reply
dnoz1958,conservatives,retweet
karenannelouis,saddlersue,retweet
karenannelouis,theresecoffey,retweet
karenannelouis,c4meronm4tthews,retweet
karenannelouis,julesewartsuff,retweet
paulstainton,bbcpolitics,retweet
paulstainton,bbcquestiontime,retweet
paulstainton,bbcone,retweet
lizad0little,dancingthemind,retweet
wbe_labour,ibrahim_dogus,retweet
wbe_labour,wbe_labour,retweet
roymotteram,peoplesvote_uk,retweet
harry78969914,_brexittory,retweet
brackpolitics,bbcpolitics,retweet
brackpolitics,bbcquestiontime,retweet
brackpolitics,bbcone,retweet
ant78mufc,brexitbin,retweet
mancmade,zebra_carol,retweet
offord4hendon,rehman_chishti,retweet
offord4hendon,offord4hendon,retweet
michaelfrohlic3,bbcquestiontime,retweet
michaelfrohlic3,bbcone,retweet
milocw5,trickyjabs,retweet
generousuk,bethrigby,retweet
pmpmagtoday,ruairiluke,retweet
pmpmagtoday,pmpmagtoday,retweet
carolynwebster_,clwyds,retweet
joanryanenfield,forchange_now,retweet
joanryanenfield,chrislesliemp,retweet
joanryanenfield,mikegapes,retweet
joanryanenfield,anna_soubry,retweet
pidgeonpercy,ukreloaded,retweet
sickstringer,rachael_swindon,retweet
macwulfie,scousegirlmedia,retweet
joannecooper56,aaronbastani,retweet
joannecooper56,novaramedia,retweet
mbjerglys,dancingthemind,retweet
stealthorchard,nick_blm,retweet
lespence,gabrielbisset,retweet
malusdomesticus,dancingthemind,retweet
akelamalu,bill_cameron,retweet
akelamalu,afneil,retweet
1rachelmitchell,scousegirlmedia,retweet
richard40480124,imajsaclaimant,retweet
alisonjcampbel2,mmaher70,retweet
spanishdan1,borisjohnson_mp,retweet
spanishdan1,krishgm,retweet
atanvarn0,scousegirlmedia,retweet
wills_mclellan,getbrexitdung,retweet
wills_mclellan,patel4witham,retweet
wills_mclellan,borisjohnson,retweet
wills_mclellan,bbcpolitics,retweet
wills_mclellan,bydonkeys,retweet
jinaduoladimeji,aaronbastani,retweet
jinaduoladimeji,novaramedia,retweet
najmalah,kazzjenkins,retweet
najmalah,conservatives,retweet
anataboga,brexitbin,retweet
peterandann,remainutd,retweet
csquiremagazine,csquiremagazine,retweet
jamessteel2008,jimmfelton,reply
jamessteel2008,omnishambles85,retweet
jamessteel2008,david_cameron,retweet
rivermansky63,scousegirlmedia,retweet
grayzza,_brexittory,retweet
inclusionis,rachael_swindon,retweet
aaarghdoom,aaronbastani,retweet
aaarghdoom,novaramedia,retweet
cooolubi,aaronbastani,retweet
cooolubi,novaramedia,retweet
bartlett_mrs,delynclp,retweet
robgibson,jshakespearepa,retweet
robgibson,_ukactive,retweet
robgibson,who,retweet
robgibson,bbcquestiontime,retweet
robgibson,borisjohnson,retweet
robgibson,jeremycorbyn,retweet
robgibson,joswinson,retweet
robgibson,nicolasturgeon,retweet
robgibson,who,retweet
robgibson,_ukactive,retweet
sunhoney90,ronniecowan,retweet
sunhoney90,thesnp,retweet
yums0me,liberaltigers,retweet
falexanderfiona,bloggerheads,retweet
falexanderfiona,borisjohnson,retweet
john1genius,mmaher70,retweet
kingsmeadmrt,rosinapaintolin,retweet
cheekywind,borisjohnson_mp,retweet
cheekywind,krishgm,retweet
kjl1911,itvnewspolitics,retweet
sparkyscrum,kazzjenkins,retweet
sparkyscrum,conservatives,retweet
alastairjt,jegullis,retweet
alastairjt,ruthsmeeth,retweet
bournemouth4eu,brexitbin,retweet
profplum3,_brexittory,retweet
jordan9186,joannaccherry,retweet
justineh0213,borisjohnson_mp,retweet
justineh0213,krishgm,retweet
ghost_wales,_brexittory,retweet
aecave,aaronbastani,retweet
bobreeduk,thestephenralph,retweet
wolffeedsfox,tommycorbyn,retweet
greekboy8,brexitparty_uk,retweet
greekboy8,skynews,retweet
greekboy8,bbcnews,retweet
greekboy8,lbc,retweet
redfoxodell,haggis_uk,retweet
jnpaquet,pmpmagtoday,retweet
jnpaquet,ruairiluke,retweet
jnpaquet,pmpmagtoday,retweet
peterandann,theprogalliance,retweet
peterandann,moraylaura,retweet
glynispickett5,_brexittory,retweet
neetneet4710,_brexittory,retweet
sah_rowan,norwichchloe,retweet
sah_rowan,sajidjavid,retweet
7ba345af8dd9441,scousegirlmedia,retweet
bromleyelects,ayocaesar,retweet
bromleyelects,opblackvote,retweet
manonclaphambus,sunpolitics,retweet
manonclaphambus,emilyhewertson,retweet
westhamcons,sara4westham,retweet
westhamcons,dehennadavison,retweet
westhamcons,clairecoutinho,retweet
westhamcons,onioviri,retweet
westhamcons,kimcaddy,retweet
killingtimetoo,schoolsweek,retweet
ooz143,romillyweeks,retweet
ooz143,itvnews,retweet
madmum58,haggis_uk,retweet
larmyr10,harrisimo,retweet
quackspeak,goodwinmj,retweet
marianwillough5,ukreloaded,retweet
greenpaul58,jamesefoster,retweet
greenpaul58,joswinson,retweet
greenpaul58,libdems,retweet
greenpaul58,uklabour,retweet
superdreadnough,rachael_swindon,retweet
bernardshawlive,scousegirlmedia,retweet
fiken49,happythriver,reply
fiken49,terryelaineh1,retweet
fiken49,hawkins2mac,retweet
fiken49,johnmcdonnellmp,retweet
annamarg4,xrebellionuk,retweet
annamarg4,conservatives,retweet
annamarg4,libdems,retweet
hmf90976073,uklabour,retweet
singlesfield,borisjohnson,retweet
singlesfield,conservatives,retweet
lopcute,barrynl,retweet
lopcute,wimbledonlabour,retweet
lopcute,paulkohlersw19,retweet
brightonianmiss,remainutd,retweet
glynnhj,csquiremagazine,retweet
perrylafrenais,imran_1,retweet
perrylafrenais,pollytoynbee,retweet
kingsyavfc,itvtynetees,retweet
kingsyavfc,mikehillmp,retweet
kingsyavfc,jeremycorbyn,retweet
tantifascista,snb19692,retweet
tantifascista,djnicholl,retweet
tantifascista,libdems,retweet
mouthtosource,finlaypringle,retweet
mouthtosource,gretathunberg,retweet
mouthtosource,vanessa_vash,retweet
bunkergraeme,tnewtondunn,retweet
bunkergraeme,bbcquestiontime,retweet
susankelly18,lindaukc21,retweet
susankelly18,theresa_may,retweet
susankelly18,borisjohnson,retweet
susankelly18,conservatives,retweet
ourmaninthenor1,jamesfwells,retweet
daniels72564661,suewixld,reply
daniels72564661,uklabour,retweet
daniels72564661,libdems,retweet
huwgriffith2,bbcpolitics,retweet
huwgriffith2,bbcquestiontime,retweet
huwgriffith2,bbcone,retweet
bedfordgreens,thegreenparty,retweet
bedfordgreens,channel4news,retweet
jamessteel2008,borisjohnson_mp,retweet
jamessteel2008,krishgm,retweet
nicolahurst20,borisjohnson_mp,retweet
nicolahurst20,krishgm,retweet
kevinpreynolds,brexitbin,retweet
ewigley4641,jamesfwells,retweet
ted33210718,itvtynetees,retweet
ted33210718,mikehillmp,retweet
ted33210718,jeremycorbyn,retweet
nils_gate,bjonas1231,retweet
nils_gate,conservatives,retweet
nils_gate,glasgow_live,retweet
nils_gate,edinburghlive_,retweet
nils_gate,eveningexpress,retweet
nils_gate,brightonargus,retweet
nils_gate,edp24,retweet
nils_gate,dailyecho,retweet
nils_gate,bournemouthecho,retweet
nils_gate,eveningnews,retweet
mondoreally,theprolestar,retweet
ceirchiog,uk_music,retweet
ceirchiog,plaid_cymru,retweet
derekmeers,wpmtese,retweet
beadartist1,scousegirlmedia,retweet
dopsonkenny,rachael_swindon,retweet
x7z7m,brexitbin,retweet
minxymartin,scousegirlmedia,retweet
davidson_robert,thesnp,retweet
davidson_robert,valensercla,retweet
jackrussellsmom,jamesefoster,retweet
jackrussellsmom,joswinson,retweet
jackrussellsmom,libdems,retweet
jackrussellsmom,uklabour,retweet
ezquid,lance63,retweet
postcards_48,shelter,retweet
postcards_48,libdems,retweet
christopheryaje,skynews,retweet
christopheryaje,joswinson,retweet
ralfgrahn,kate_degerdon,reply
robertcheale,bbcquestiontime,retweet
robertcheale,bbcone,retweet
clynn561,scousegirlmedia,retweet
_boorads_,spikedonline,retweet
_boorads_,clim8resistance,retweet
bos_ca,agsbaker235,retweet
pennysgreenlife,wwf_uk,retweet
billetheridgeuk,goodwinmj,retweet
frankmcdonald60,brexitbin,retweet
mojos55,scousegirlmedia,retweet
oogyflip,iwantjc4pm,retweet
oogyflip,conservatives,retweet
oogyflip,libdems,retweet
fionn114,brexitbin,retweet
wetwinter1,addicted2newz,retweet
wetwinter1,afneil,retweet
alterntereality,victorialive,reply
cass_uel,fiona_byrne7,retweet
cass_uel,mickylevoguer,retweet
cass_uel,drfranzanatta,retweet
cass_uel,cass_uel,retweet
helencg1,borisjohnson_mp,retweet
helencg1,krishgm,retweet
booithemaster,borisjohnson_mp,retweet
booithemaster,krishgm,retweet
tonypamnicholls,addicted2newz,retweet
tonypamnicholls,afneil,retweet
maggienoakes77,skynewspolitics,retweet
maggienoakes77,tommysheppard,retweet
maggienoakes77,jeremycorbyn,retweet
maggienoakes77,borisjohnson,retweet
maggienoakes77,nicolasturgeon,retweet
roblwilson,jamesmelville,retweet
roblwilson,becmcq,retweet
linfield1641,csquiremagazine,retweet
bremaininspain,open_selection,retweet
tiddybeth,mmaher70,retweet
peterandann,tvpauld,retweet
roy_everitt,doozy_45,retweet
tgrworzel,pauljholmes,reply
tgrworzel,conservatives,retweet
tgrworzel,uklabour,retweet
tgrworzel,sam4eastleigh,retweet
tgrworzel,libdims,retweet
tgrworzel,lynda4eastleigh,retweet
tgrworzel,brexitparty_uk,retweet
tgrworzel,ukip,retweet
tgrworzel,jeremycorbyn,retweet
enfieldsouthga2,conservatives,reply
enfieldsouthga2,brexitparty_uk,retweet
pointlessbrexit,thestephenralph,retweet
svencjohn_steve,sunpolitics,retweet
starboy5567,woodlandtrust,retweet
rosssadyan,bloggerheads,retweet
rosssadyan,jeremycorbyn,retweet
rosssadyan,uklabour,retweet
rosssadyan,conservatives,retweet
mrbsrealitymrb1,_brexittory,retweet
karendo98053332,iwantjc4pm,retweet
bendgriff,mcrcladiators,retweet
proletics,acorn_tweets,retweet
giskarduk,libdems,reply
nigsym,leedseurope,retweet
nigsym,uklabour,retweet
nigsym,fabianleedsne,retweet
bigboop21,haggis_uk,retweet
snp_porty_craig,thesnp,retweet
snp_porty_craig,valensercla,retweet
lifelandlady,embarrassedbrit,reply
lifelandlady,nickynoo007,retweet
lifelandlady,roqcvicky,retweet
lifelandlady,davidlammy,retweet
lifelandlady,benpbradshaw,retweet
lifelandlady,guitarmoog,retweet
lifelandlady,stevepeers,retweet
choobdriver,borisjohnson_mp,retweet
choobdriver,krishgm,retweet
jamesmustoe1,stevedouble,retweet
cornish_damo,rachael_swindon,retweet
neuoxon,neunion,retweet
raychdigitalink,f123chris,reply
kirkchris,angelortanya,retweet
kirkchris,uklabour,retweet
kirkchris,jeremycorbyn,retweet
sandradunn1955,shelter,retweet
tkgafs,brucerisk,retweet
tkgafs,joswinson,retweet
kingmark1st,theprolestar,retweet
rowz23,rachael_swindon,retweet
huwgriffith2,cshaw_journo,retweet
huwgriffith2,bbcr4today,retweet
huwgriffith2,justinonweb,retweet
huwgriffith2,welshlibdems,retweet
huwgriffith2,doddsjane,retweet
huwgriffith2,felicityxevans,retweet
kgbunny,jamesefoster,retweet
kgbunny,joswinson,retweet
kgbunny,libdems,retweet
kgbunny,uklabour,retweet
tantifascista,borisjohnson_mp,retweet
tantifascista,krishgm,retweet
roadwarrior29,snpdunfermline,retweet
roadwarrior29,audreynicollsnp,retweet
roadwarrior29,thesnp,retweet
mrstiggywinks,marieannuk,retweet
spagbolshevism,labhomeless_cam,retweet
spagbolshevism,rida_again,retweet
spagbolshevism,labourlist,retweet
enfieldsouthga2,nigel_farage,reply
shortallbrendan,rachael_swindon,retweet
captain_crell,planetzuma,retweet
captain_crell,bbcpolitics,retweet
captain_crell,nickeardleybbc,retweet
captain_crell,bbcquestiontime,retweet
captain_crell,bbcone,retweet
highlandsummits,thesnp,retweet
highlandsummits,dr_philippaw,retweet
highlandsummits,robertjenrick,retweet
luckylilybee,rosieduffield1,retweet
virginiaaxon,dancardenmp,retweet
europeanunion__,peoplesvote_uk,retweet
childofalba,thesnp,retweet
childofalba,valensercla,retweet
jc4pmtomski,johnston277,retweet
sparkz42,sunpolitics,retweet
dessiembyrne,rachael_swindon,retweet
lilymxy_,bloggerheads,retweet
lilymxy_,jeremycorbyn,retweet
lilymxy_,uklabour,retweet
lilymxy_,conservatives,retweet
lopcute,monicabeharding,retweet
lopcute,elmbridgelibdem,retweet
femalefanacct,aaronbastani,retweet
eltbusglob,brexitbin,retweet
grumpyyorksscot,bbcnewspr,reply
grumpyyorksscot,guardian,retweet
proudgranny24,dancardenmp,retweet
zander53,ofocbrexit,retweet
james_pattersn,james_pattersn,retweet
james_pattersn,julieanngregory,retweet
kathrynsherloc3,thestephenralph,retweet
mitchiepoo46,addicted2newz,retweet
jamessteel2008,borisjohnson_mp,reply
jamessteel2008,krishgm,retweet
jamessteel2008,borisjohnson,retweet
jamessteel2008,channel4news,retweet
jamessteel2008,mirrorpolitics,retweet
awpkingswood,femyamin,retweet
awpkingswood,jeremycorbyn,retweet
gilljames54,bbcpolitics,retweet
gilljames54,bbcquestiontime,retweet
gilljames54,bbcone,retweet
proudgranny24,haggis_uk,retweet
samljpage,brexitbin,retweet
payteer,philbennion,retweet
payteer,europarl_en,retweet
payteer,libdemmeps,retweet
ruairiluke,pmpmagtoday,retweet
jess_parkerrvn,kazzjenkins,retweet
jess_parkerrvn,conservatives,retweet
beccaokeefe1,dnoz1958,retweet
daviesauthor,_brexittory,retweet
pdwriter,scousegirlmedia,retweet
manville54,steviebrexit,retweet
hants_hippy,peston,reply
gttonow,imajsaclaimant,retweet
the_tpa,brexitparty_uk,retweet
macwulfie,romillyweeks,retweet
macwulfie,itvnews,retweet
alacoque6,haggis_uk,retweet
whitefryar,dave8001,reply
whitefryar,nicolasturgeon,retweet
whitefryar,thesnp,retweet
purtill_stephen,itvtynetees,retweet
purtill_stephen,mikehillmp,retweet
purtill_stephen,jeremycorbyn,retweet
davidheadviews,rachael_swindon,retweet
monstrousmember,james_pattersn,retweet
monstrousmember,julieanngregory,retweet
ncs992,sunpolitics,retweet
roadwarrior29,nottimorous,retweet
giskarduk,libdems,reply
bethtaswell,become1992,retweet
bethtaswell,jeremycorbyn,retweet
bethtaswell,uklabour,retweet
wolffeedsfox,trickyjabs,retweet
judiththomasrc2,kazzjenkins,retweet
judiththomasrc2,conservatives,retweet
peterandann,tvpauld,retweet
gracebrodie,skynewspolitics,retweet
gracebrodie,tommysheppard,retweet
gracebrodie,jeremycorbyn,retweet
gracebrodie,borisjohnson,retweet
gracebrodie,nicolasturgeon,retweet
enfieldsouthga2,_brexittory,retweet
jonorgia,kazzjenkins,retweet
jonorgia,conservatives,retweet
dudlypaul,rachael_swindon,retweet
blakenburg8,addicted2newz,retweet
_patrick_mills_,goodwinmj,retweet
pnelegend,brexitwales,retweet
pnelegend,uklabour,retweet
maybnextimedude,jamesfwells,retweet
fantazeecafe,grassrootsmick1,retweet
fantazeecafe,laurasmithmp,retweet
fantazeecafe,unite_northwest,retweet
teachpoliticsuk,votingcountsuk,retweet
uflo5,brexitbin,retweet
tactical_blonde,dave4ndorset,retweet
tactical_blonde,simon4ndorset,retweet
tactical_blonde,pat4northdorset,retweet
squidlingg,keepnhspublic,retweet
jeanlambertldn,libertyhq,retweet
curethecause,kazzjenkins,retweet
curethecause,conservatives,retweet
real_union_jack,romillyweeks,retweet
real_union_jack,itvnews,retweet
muggedbybrexit,chrisballingall,retweet
childofalba,alisonthewliss,retweet
childofalba,thesnp,retweet
gigi_musicluva,athenaleave,retweet
gigi_musicluva,nigel_farage,retweet
gigi_musicluva,brexitparty_uk,retweet
gigi_musicluva,brexitparty_uk,retweet
dolly_ste,_brexittory,retweet
income4lifeplus,goodwinmj,retweet
nicktothecore74,socialistvoice,retweet
sheathcote972,bbcpolitics,retweet
sheathcote972,bbcquestiontime,retweet
sheathcote972,bbcone,retweet
anjosmartinez,andrewbowie4wak,retweet
anjosmartinez,pressjournal,retweet
antbholah,imajsaclaimant,retweet
lilithcrane,rachael_swindon,retweet
j1m_br0wn,mrjohnnicolson,retweet
j1m_br0wn,thesnp,retweet
doodoo1047,wpmtese,retweet
oatcake1967,theprolestar,retweet
ianthebrush,simplysimontfa,retweet
ianthebrush,borisjohnson,retweet
sheanderthal,christopherhope,retweet
sheanderthal,nigel_farage,retweet
alanmossman,aw_bell,retweet
alanmossman,guardian,retweet
uglybear_,grahamsbino,reply
tanky7,paulbranditv,retweet
citylad60,ukreloaded,retweet
vote_labour2019,mmaher70,retweet
elliott_blain,kazzjenkins,retweet
elliott_blain,conservatives,retweet
thegodfatheruk,addicted2newz,retweet
thegodfatheruk,afneil,retweet
jenpeders,rachael_swindon,retweet
julian47hill,brexitbin,retweet
henkmatthee,romillyweeks,retweet
henkmatthee,itvnews,retweet
selbywhit,thestephenralph,retweet
etrix,brexitbin,retweet
stemclxxxvi,kazzjenkins,retweet
stemclxxxvi,conservatives,retweet
dkaye1966,_brexittory,retweet
mrneilamphlett,_brexittory,retweet
carolmacqueen,joannaccherry,retweet
grayman_safety,_brexittory,retweet
wingreenparty,libertyhq,retweet
beddoeroger,liarpoliticians,retweet
beddoeroger,dawnbutlerbrent,retweet
beddoeroger,labourpress,retweet
beddoeroger,uklabour,retweet
beddoeroger,uklabour,retweet
consirvatives,rachelrileyrr,retweet
consirvatives,borisjohnson,retweet
beyondtomorrow0,drjimbonhs,retweet
beyondtomorrow0,lesleyriddoch,retweet
wallbarn,woodlandtrust,retweet
nhsnot4sale,scousegirlmedia,retweet
hlrybuck,open_selection,retweet
kernowmad,borisjohnson_mp,retweet
kernowmad,krishgm,retweet
thebigmiddlepod,ageing_better,retweet
scotlandjock1,_brexittory,retweet
blakenburg8,goodwinmj,retweet
patanilab,mndcampaigns,retweet
northcotetories,cen_hq,retweet
cosmos_efc,rachael_swindon,retweet
lissbackham,shelter,retweet
evilgenius222,rachael_swindon,retweet
morasarahcliffe,bbcquestiontime,retweet
morasarahcliffe,bbcone,retweet
godrizzla,kazzjenkins,retweet
godrizzla,conservatives,retweet
alterntereality,jerryhicksunite,retweet
gillgsco4ever,davidlinden,retweet
luckylilybee,getbrexitdung,retweet
luckylilybee,patel4witham,retweet
luckylilybee,borisjohnson,retweet
luckylilybee,bbcpolitics,retweet
luckylilybee,bydonkeys,retweet
stuartlothian,stuartlothian,retweet
stuartlothian,mikegalsworthy,retweet
dessiembyrne,aaronbastani,retweet
muggybonehead11,angelarayner,retweet
kingsmeadmrt,saddlersue,retweet
kingsmeadmrt,theresecoffey,retweet
kingsmeadmrt,c4meronm4tthews,retweet
kingsmeadmrt,julesewartsuff,retweet
s_zzaki,jay_sutherland_,retweet
mattdevine61,theprogalliance,retweet
mattdevine61,moraylaura,retweet
vote_labour2019,scousegirlmedia,retweet
charliesuknotes,simplysimontfa,retweet
charliesuknotes,borisjohnson,retweet
heartfulfocus,shelter,retweet
nerdnovelist,imajsaclaimant,retweet
aprilpreston_,bbcquestiontime,retweet
aprilpreston_,bbcone,retweet
sheathcote972,talkradio,retweet
martin_oxley,finlaypringle,retweet
martin_oxley,gretathunberg,retweet
martin_oxley,vanessa_vash,retweet
jonguitarmoore,peoplesvote_uk,retweet
tonyshoey,kazzjenkins,retweet
tonyshoey,conservatives,retweet
edwardharkins,gerryhassan,retweet
edwardharkins,labourrichard,retweet
dumbartonsnp,thesnp,retweet
dumbartonsnp,valensercla,retweet
allan_brodie54,bethrigby,retweet
kijomba1,bbcpolitics,retweet
kijomba1,bbcquestiontime,retweet
kijomba1,bbcone,retweet
philliptkm421,angelarayner,retweet
ocdtrudy,walesforeurope,retweet
benicegjb,thesnp,retweet
benicegjb,valensercla,retweet
labourfay,joncruddas_1,retweet
labourfay,uklabour,retweet
plaidcardiffw,adamprice,retweet
plaidcardiffw,plaid_cymru,retweet
dumbartonsnp,thesnp,retweet
1956bbay,tactical_blonde,retweet
1956bbay,dave4ndorset,retweet
1956bbay,simon4ndorset,retweet
1956bbay,pat4northdorset,retweet
mbjerglys,jamesefoster,retweet
mbjerglys,joswinson,retweet
mbjerglys,libdems,retweet
mbjerglys,uklabour,retweet
brettwalt,scousegirlmedia,retweet
free___thinker,socialistvoice,retweet
goey1,brexitbin,retweet
enquiron,aaronbastani,retweet
enquiron,novaramedia,retweet
selibdems,chrismasonbbc,retweet
sah_rowan,bbcpolitics,retweet
sah_rowan,bbcquestiontime,retweet
sah_rowan,bbcone,retweet
makerel_sky,talkradio,reply
1306pootie,angelarayner,retweet
publicissues,scpo_,retweet
publicissues,publicissues,retweet
mad4yoga,brexitbin,retweet
rainhamlabour,joncruddas_1,retweet
rainhamlabour,uklabour,retweet
seanwhiting10,youth4ia,retweet
elbobaggins,rachael_swindon,retweet
gstoneski,dont_vote_tobin,retweet
trevorlilley1,dancingthemind,retweet
claire3142,scousegirlmedia,retweet
danielblake_19,rachael_swindon,retweet
fay_hough,joncruddas_1,retweet
fay_hough,uklabour,retweet
pierspd0930,ronniecowan,retweet
pierspd0930,thesnp,retweet
delshan001,ukreloaded,retweet
friendoflossie,itvtynetees,retweet
friendoflossie,mikehillmp,retweet
friendoflossie,jeremycorbyn,retweet
phurstclass,borisjohnson_mp,retweet
phurstclass,krishgm,retweet
jc4no10,wpmtese,retweet
bykerbill,scousegirlmedia,retweet
elainelelampre1,ofocbrexit,retweet
josephi58042571,trickyjabs,retweet
trishal8,suey2y,reply
trishal8,nigelplymtom,retweet
trishal8,chrissieoap,retweet
dumbartonsnp,thesnp,retweet
dumbartonsnp,dr_philippaw,retweet
dumbartonsnp,robertjenrick,retweet
antisaint13,_brexittory,retweet
dayeskimo,stwuk,retweet
mtr_labourparty,geraldjoneslab,retweet
mtr_labourparty,mtr_labourparty,retweet
